Country,Happiness.Score,Freedom,Trust..Government.Corruption,2007 Prison Rate,2008 Prison Rate,2009 Prison Rate,2010 Prison Rate,2011 Prison Rate,2012 Prison Rate,2013 Prison Rate,2014 Prison Rate,2015 Prison Rate,2016 Prison Rate,Prison Rate Average
Afghanistan,3.7939999103546103,0.106179520487785,0.0611578300595284,39.8,45.8,,63.5,,80.2,,81.0,,,62.1
Albania,4.64400005340576,0.381498634815216,0.0398642159998417,92.3,164.3,157.5,158.4,159.2,158.1,171.2,194.8,204.6,206.0,166.6
Algeria,5.872000217437741,0.233335807919502,0.14609611034393302,160.7,159.5,,135.7,135.8,133.4,157.1,156.0,155.9,,149.3
Angola,3.79500007629395,0.0,0.0697203353047371,,,71.8,,82.2,,83.2,84.8,86.7,,81.7
Argentina,6.59899997711182,0.49451920390129106,0.05973988771438599,131.2,135.1,140.7,143.7,145.9,147.9,151.1,160.7,167.4,174.0,149.8
Armenia,4.37599992752075,0.198303267359734,0.0266744215041399,120.7,136.3,149.3,178.7,157.6,165.0,135.6,133.5,132.8,131.2,144.1
Australia,7.28399991989136,0.601607382297516,0.301183730363846,130.0,129.4,134.9,134.3,129.5,128.7,132.9,143.9,151.8,161.1,137.6
Austria,7.00600004196167,0.567766189575195,0.22106036543846105,108.4,98.9,104.0,104.8,105.8,103.4,103.3,100.7,,99.1,103.2
Azerbaijan,5.234000205993651,0.39815583825111406,0.180987507104874,224.2,237.9,231.4,243.2,224.6,224.3,220.2,237.0,,240.0,231.4
Bahrain,6.08699989318848,0.536746919155121,0.257042169570923,344.3,278.4,,88.6,,177.4,306.2,,,,239.0
Bangladesh,4.60799980163574,0.478356659412384,0.123717859387398,,58.4,,45.8,,44.1,45.8,,43.2,,47.5
Belarus,5.5689997673034695,0.295400261878967,0.156313821673393,490.6,467.0,423.6,418.3,387.1,304.5,300.4,313.9,,,388.2
Belgium,6.89099979400635,0.5397707223892211,0.251343131065369,,91.5,,96.5,,101.2,108.7,104.9,97.4,,100.0
