Region,Sub region,Country,Source,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
Asia,Southern Asia,Afghanistan,WPB-ICPR,,5262,,7706,10590,12500,,18283,,24613,,26519,,,,,21.8,,29.8,39.8,45.8,,63.5,,80.2,,81.0,,
Europe,Southern Europe,Albania,UN-CTS,2561,2321,2592,2857,2790,4916,4667,4657,4659,4618,4998,5689,5981,6031,,82.3,74.9,84.2,93.5,92.3,164.3,157.5,158.4,159.2,158.1,171.2,194.8,204.6,206.0
Africa,Northern Africa,Algeria,UN-CTS,39806,44231,43797,54117,55119,55598,,49000,50000,50100,60220,61000,62150,,,122.8,134.7,131.6,160.2,160.7,159.5,,135.7,135.8,133.4,157.1,156.0,155.9,
Oceania,Polynesia,American Samoa,WPB-ICPR,,258,,210,,132,,188,,192,,201,,183,,,435.3,,358.1,,231.5,,337.9,,347.6,,362.6,,329.2
Europe,Southern Europe,Andorra,UN-CTS/WPB-ICPR,61,61,,30,71,73,55,44,49,36,43,53,41,,,83.4,80.0,,37.0,85.9,87.0,65.1,52.1,58.5,43.7,53.2,66.9,52.6,
Africa,Middle Africa,Angola,WPB-ICPR,6008,,8300,,,,16183,,19898,,21634,22826,24165,,,33.0,,42.4,,,,71.8,,82.2,,83.2,84.8,86.7,
Americas,Caribbean,Anguilla,WPB-ICPR,,41,,45,,44,,58,,76,,60,46,,,,332.3,,348.8,,329.3,,421.2,,537.9,,415.0,314.8,
Americas,Caribbean,Antigua and Barbuda,WPB-ICPR,,191,194,193,,229,,295,,361,371,331,,314,,,216.4,217.4,213.7,,247.6,,311.6,,373.0,379.3,334.8,,311.0
Americas,South America,Argentina,UN-CTS,,,55423,54000,52457,54537,57403,59227,60789,62263,64288,69060,72693,76261,,,,141.6,136.5,131.2,135.1,140.7,143.7,145.9,147.9,151.1,160.7,167.4,174.0
