Region,Sub region,Country,Source,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Asia,Southern Asia,Afghanistan,WPB-ICPR,,"5,262",,"7,706","10,590","12,500",,"18,283",,"24,613",,"26,519",,,,,21.8,,29.8,39.8,45.8,,63.5,,80.2,,81.0,,
Europe,Southern Europe,Albania,UN-CTS,"2,561","2,321","2,592","2,857","2,790","4,916","4,667","4,657","4,659","4,618","4,998","5,689","5,981","6,031",,82.3,74.9,84.2,93.5,92.3,164.3,157.5,158.4,159.2,158.1,171.2,194.8,204.6,206.0
Africa,Northern Africa,Algeria,UN-CTS,"39,806","44,231","43,797","54,117","55,119","55,598",,"49,000","50,000","50,100","60,220","61,000","62,150",,,122.8,134.7,131.6,160.2,160.7,159.5,,135.7,135.8,133.4,157.1,156.0,155.9,
Oceania,Polynesia,American Samoa,WPB-ICPR,,258,,210,,132,,188,,192,,201,,183,,,435.3,,358.1,,231.5,,337.9,,347.6,,362.6,,329.2
Europe,Southern Europe,Andorra,UN-CTS/WPB-ICPR,61,61,,30,71,73,55,44,49,36,43,53,41,,,83.4,80.0,,37.0,85.9,87.0,65.1,52.1,58.5,43.7,53.2,66.9,52.6,
Africa,Middle Africa,Angola,WPB-ICPR,"6,008",,"8,300",,,,"16,183",,"19,898",,"21,634","22,826","24,165",,,33.0,,42.4,,,,71.8,,82.2,,83.2,84.8,86.7,
Americas,Caribbean,Anguilla,WPB-ICPR,,41,,45,,44,,58,,76,,60,46,,,,332.3,,348.8,,329.3,,421.2,,537.9,,415.0,314.8,
Americas,Caribbean,Antigua and Barbuda,WPB-ICPR,,191,194,193,,229,,295,,361,371,331,,314,,,216.4,217.4,213.7,,247.6,,311.6,,373.0,379.3,334.8,,311.0
Americas,South America,Argentina,UN-CTS,,,"55,423","54,000","52,457","54,537","57,403","59,227","60,789","62,263","64,288","69,060","72,693","76,261",,,,141.6,136.5,131.2,135.1,140.7,143.7,145.9,147.9,151.1,160.7,167.4,174.0
Asia,Western Asia,Armenia,UN-CTS,"2,856","2,710","2,873","3,083","3,539","3,965","4,313","5,142","4,532","4,756","3,923","3,880","3,873","3,833",,94.6,90.3,96.4,104.2,120.7,136.3,149.3,178.7,157.6,165.0,135.6,133.5,132.8,131.2
Americas,Caribbean,Aruba,WPB-ICPR,,,231,,277,,,,246,,240,170,,,,,,230.9,,273.7,,,,241.1,,232.6,163.8,,
Oceania,Australia and New Zealand,Australia,UN-CTS,"23,555","24,171",,,"27,224","27,615","29,317","29,700","29,106","29,381","30,773","33,789","36,134","38,845",,119.6,121.2,,,130.0,129.4,134.9,134.3,129.5,128.7,132.9,143.9,151.8,161.1
