,Compound,Date,Hockey Team,Negative,Neutral,Positive,Text,Tweets Ago
0,0.0,Tue Dec 04 00:11:05 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Here just in time for your drive home, our new episode of Duck Cast!

@KentFrench and Brian Hayward grabbed assista… https://t.co/614KgIdWMP",1
1,0.8475,Mon Dec 03 22:45:08 +0000 2018,@AnaheimDucks,0.662,0.0,0.338,"Home sweet home!

After four straight wins on the road, we return to @HondaCenter on Wednesday!

Look at this slate… https://t.co/HNm9oRWQjo",2
2,0.0,Mon Dec 03 21:35:48 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Have you submitted your #NHLAllStar vote?

Remember - you can vote for a Duck to captain the Pacific Division in th… https://t.co/AtVriC432I",3
3,0.0,Mon Dec 03 20:21:40 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Looking forward to seeing these top-shelf tallies in our sweater, @sprong97! https://t.co/Umn0I2bGmd",4
4,0.0,Mon Dec 03 20:06:27 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"@sprong97 Go ahead and give our newest Duck a follow - and a quick hello!

👋, @sprong97!",5
5,0.0,Mon Dec 03 20:01:13 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,BREAKING: We've acquired right wing Daniel Sprong (@Sprong97) from the Pittsburgh Penguins in exchange for defensem… https://t.co/vGsR7u2ABt,6
6,0.0,Mon Dec 03 19:02:22 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,RT @NHLNetwork: Comeback of the year? @AnaheimDucks #NHLOnTheFly https://t.co/ZVRzAw31JP,7
7,0.902,Mon Dec 03 18:19:35 +0000 2018,@AnaheimDucks,0.605,0.0,0.395,"The best part of yesterday's incredible win?

Sharing the rollercoaster of emotions with all of you!

Check out som… https://t.co/ivjOAx6Qpg",8
8,0.5859,Mon Dec 03 17:34:45 +0000 2018,@AnaheimDucks,0.647,0.108,0.245,"Hey everyone -

Remember when we came back from four goals down to defeat the Stanley Cup Champions, winning our fo… https://t.co/4CX7CpEPWV",9
9,-0.4019,Mon Dec 03 04:00:05 +0000 2018,@AnaheimDucks,0.769,0.231,0.0,In case you’re having trouble with that recap link: https://t.co/jirZgi1LFC,10
10,-0.6696,Mon Dec 03 01:00:00 +0000 2018,@AnaheimDucks,0.809,0.191,0.0,"Your RED HOT Ducks return home this Wednesday to kick off a four-game homestand!

The opponent: the hated Chicago B… https://t.co/sCIBOU4jfy",11
11,0.8225,Mon Dec 03 00:35:55 +0000 2018,@AnaheimDucks,0.734,0.0,0.266,"Two more notes on today's win:

First team to rally from four goals down to win in regulation since 3/9/99 (COL @ F… https://t.co/T1uI5BClyB",12
12,0.6369,Mon Dec 03 00:13:57 +0000 2018,@AnaheimDucks,0.846,0.0,0.154,"Our last 6️⃣ days:

1️⃣➡ Beat one of the best teams in the Eastern Conference
2️⃣➡ Came from behind to sweep the Fl… https://t.co/CRyinqKwA5",13
13,0.0,Sun Dec 02 23:58:18 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Everyone thought it was over.

Everyone...EXCEPT FOR US!

📰➡ https://t.co/PUnCnKHcDt

#LetsGoDucks https://t.co/se3prjEqYW",14
14,0.6468,Sun Dec 02 23:46:38 +0000 2018,@AnaheimDucks,0.483,0.0,0.517,"Absolutely perfect #DucksHeadline, @SaveUsBobman! https://t.co/Rm1C9Du0vG",15
15,0.8225,Sun Dec 02 23:39:42 +0000 2018,@AnaheimDucks,0.743,0.0,0.257,"A note on today's win:

It marked the marked first time in club history we rallied from four goals down to win on t… https://t.co/iHrlFWrafR",16
16,-0.1027,Sun Dec 02 23:31:30 +0000 2018,@AnaheimDucks,0.887,0.113,0.0,"Getz tried to warn ‘em not to take us lightly. 

#LetsGoDucks https://t.co/Dp2kUxVfki",17
17,0.0,Sun Dec 02 23:11:29 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"M O O D 

#LetsGoDucks https://t.co/7Xq69ZLX1e",18
18,0.2401,Sun Dec 02 22:59:40 +0000 2018,@AnaheimDucks,0.902,0.0,0.098,"We've already seen some INCREDIBLE #DucksHeadline submissions.

Don't forget to get yours in now! Keep it short, ma… https://t.co/vxJvwlMJuF",19
19,0.7739,Sun Dec 02 22:49:59 +0000 2018,@AnaheimDucks,0.69,0.0,0.31,"MILESTONE ALERT:

With a win today, @RyanMiller3039 tied John Vanbiesbrouck for the all-time lead among U.S.-born g… https://t.co/O93Gc5peGU",20
20,0.0,Tue Dec 04 00:11:05 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Here just in time for your drive home, our new episode of Duck Cast!

@KentFrench and Brian Hayward grabbed assista… https://t.co/614KgIdWMP",21
21,0.8475,Mon Dec 03 22:45:08 +0000 2018,@AnaheimDucks,0.662,0.0,0.338,"Home sweet home!

After four straight wins on the road, we return to @HondaCenter on Wednesday!

Look at this slate… https://t.co/HNm9oRWQjo",22
22,0.0,Mon Dec 03 21:35:48 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Have you submitted your #NHLAllStar vote?

Remember - you can vote for a Duck to captain the Pacific Division in th… https://t.co/AtVriC432I",23
23,0.0,Mon Dec 03 20:21:40 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Looking forward to seeing these top-shelf tallies in our sweater, @sprong97! https://t.co/Umn0I2bGmd",24
24,0.0,Mon Dec 03 20:06:27 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"@sprong97 Go ahead and give our newest Duck a follow - and a quick hello!

👋, @sprong97!",25
25,0.0,Mon Dec 03 20:01:13 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,BREAKING: We've acquired right wing Daniel Sprong (@Sprong97) from the Pittsburgh Penguins in exchange for defensem… https://t.co/vGsR7u2ABt,26
26,0.0,Mon Dec 03 19:02:22 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,RT @NHLNetwork: Comeback of the year? @AnaheimDucks #NHLOnTheFly https://t.co/ZVRzAw31JP,27
27,0.902,Mon Dec 03 18:19:35 +0000 2018,@AnaheimDucks,0.605,0.0,0.395,"The best part of yesterday's incredible win?

Sharing the rollercoaster of emotions with all of you!

Check out som… https://t.co/ivjOAx6Qpg",28
28,0.5859,Mon Dec 03 17:34:45 +0000 2018,@AnaheimDucks,0.647,0.108,0.245,"Hey everyone -

Remember when we came back from four goals down to defeat the Stanley Cup Champions, winning our fo… https://t.co/4CX7CpEPWV",29
