,Compound,Date,Negative,Network,Neutral,Positive,Text,Tweets Ago
0,0.0,Tue Oct 02 18:48:42 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@sherryjystad5 how about perform analysis on @peter_pan_daz and @CO2_Dispenser,1
1,0.0,Tue Oct 02 18:42:42 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@pan_bot Analyze:@CO2_Dispenser,2
2,0.0,Tue Oct 02 18:42:33 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@pan_bot Analyze:@sherryjystad5,3
3,0.0,Tue Oct 02 13:32:37 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,"Here you go @peter_pan_daz, this will cost you 1 gummy bear https://t.co/vguMgpR8YV",4
4,0.0,Tue Oct 02 03:28:46 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,"Here you go @NakamotoThomas, this will cost you 1 gummy bear https://t.co/Pmc94zrSWK",5
5,0.0,Tue Oct 02 03:16:14 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,"Here you go @CO2_Dispenser, this will cost you 1 gummy bear https://t.co/bhD6EUtCOU",6
6,0.0,Tue Oct 02 01:43:40 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@NB_ED4ever Analyze: @NB_ED4ever,7
7,0.0,Mon Oct 01 22:12:29 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@pan_bot Analyze:@mr_bryan_lowe,8
8,0.0,Mon Oct 01 22:00:18 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@pan_bot Analyze:@PlayOverwatch,9
9,0.0,Sat Sep 29 20:40:24 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@ChaplyginAndrei analyze tweets of @lifehackorg,10
10,0.0,Sat Sep 29 20:39:50 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@ChaplyginAndrei analyze tweets of @HellthyJunkFood,11
11,0.0,Sat Sep 29 20:39:01 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@ChaplyginAndrei analyze tweets of @UCIrvine,12
